uso_credito_rotativo,edad,atrasos_30_59d,ratio_deuda,ingreso_mensual,lineas_credito_abiertas,atrasos_90d,prestamos_inmobiliarios,atrasos_60_89d,dependientes,total_atrasos,ingreso_por_dependiente,mora_real,score_riesgo,prediccion,condicion_real,nivel_score
0.753549763,47,0,2208.0,5400.0,17,0,2,0,2.0,0,1800.0,0,51.6,1,Sin mora,Medio
0.23106255,73,0,0.270052539,5709.0,5,0,1,0,0.0,0,5709.0,0,16.2,0,Sin mora,Muy Bajo
0.169241956,26,0,0.005623828,4800.0,5,0,0,0,0.0,0,4800.0,0,15.7,0,Sin mora,Muy Bajo
0.168826405,62,0,0.313863546,10083.0,13,0,1,0,0.0,0,10083.0,0,20.5,0,Sin mora,Muy Bajo
0.574030426,30,0,0.322085117,3970.0,9,0,1,0,0.0,0,3970.0,0,53.1,1,Sin mora,Medio
0.244880762,63,2,0.406865061,6350.0,14,0,3,0,0.0,2,6350.0,1,45.5,0,Con mora,Bajo
0.9999999,46,1,4434.0,5400.0,5,0,2,0,0.0,1,5400.0,0,48.4,0,Sin mora,Bajo
0.011933068,48,0,0.225393805,9458.0,14,0,1,0,1.0,0,4729.0,0,7.4,0,Sin mora,Muy Bajo
0.147711678,65,0,0.128289474,2735.0,10,0,0,0,0.0,0,2735.0,0,20.2,0,Sin mora,Muy Bajo
0.503966402,39,0,0.945621751,2500.0,11,0,2,0,1.0,0,1250.0,0,51.5,1,Sin mora,Medio
0.708458975,49,2,0.214197404,9705.0,12,0,0,2,4.0,4,1941.0,0,92.7,1,Sin mora,Alto
0.276054839,54,0,4979.079999999958,5400.0,10,0,2,0,0.0,0,5400.0,0,33.6,0,Sin mora,Bajo
0.39120923,53,0,0.314263774,10417.0,17,0,1,0,0.0,0,10417.0,0,40.6,0,Sin mora,Bajo
0.090007811,49,0,0.516639269,23000.0,17,0,4,0,2.0,0,7666.666666666667,0,27.2,0,Sin mora,Bajo
0.030323232,36,1,0.073493876,12000.0,4,0,0,0,0.0,1,12000.0,0,16.7,0,Sin mora,Muy Bajo
0.605087182,41,0,0.605583071,2220.0,7,0,1,0,2.0,0,740.0,0,56.5,1,Sin mora,Medio
0.120499294,45,0,0.193215632,5040.0,14,0,0,0,0.0,0,5040.0,0,23.6,0,Sin mora,Muy Bajo
0.751730621,48,5,0.308338332,1666.0,13,0,0,0,2.0,5,555.3333333333334,1,92.7,1,Con mora,Alto
0.004457058,49,0,2766.0,5400.0,10,0,1,0,0.0,0,5400.0,0,5.8,0,Sin mora,Muy Bajo
0.83719789,46,3,0.249216535,6700.0,6,1,1,1,3.0,5,1675.0,0,87.6,1,Sin mora,Alto
0.230126478,50,0,0.634287366,3458.0,7,0,2,0,0.0,0,3458.0,0,31.3,0,Sin mora,Bajo
0.169859553,55,0,0.139361385,3350.0,8,0,0,0,1.0,0,1675.0,0,22.7,0,Sin mora,Muy Bajo
0.111826378,50,0,0.154754762,23000.0,17,0,2,0,2.0,0,7666.666666666667,0,14.9,0,Sin mora,Muy Bajo
0.632259112,77,0,0.474204947,4244.0,11,0,1,0,0.0,0,4244.0,0,33.7,0,Sin mora,Bajo
0.0,76,0,0.062032263,6012.0,7,0,0,0,1.0,0,3006.0,0,4.0,0,Sin mora,Muy Bajo
0.827052558,36,0,0.220602527,4115.0,8,0,0,0,2.0,0,1371.6666666666667,0,70.2,1,Sin mora,Medio
0.66937646,51,0,1.106946225,13258.0,23,0,2,0,2.0,0,4419.333333333333,1,60.8,1,Con mora,Medio
0.333992374,36,2,0.338357795,10083.0,8,0,2,0,3.0,2,2520.75,0,53.5,1,Sin mora,Medio
0.9999999,28,0,0.20326766,2080.0,2,0,0,0,1.0,0,1040.0,0,42.5,0,Sin mora,Bajo
0.661451543,26,0,0.05956059,5825.0,6,0,0,0,4.0,0,1165.0,0,57.8,1,Sin mora,Medio
0.879330362,34,0,0.332458443,8000.0,9,0,2,0,2.0,0,2666.6666666666665,0,40.0,0,Sin mora,Bajo
0.804884832,37,2,0.322413104,5005.0,23,0,0,0,2.0,2,1668.3333333333333,1,84.2,1,Con mora,Alto
0.377160304,44,1,0.891555422,6666.0,10,0,2,0,1.0,1,3333.0,0,60.5,1,Sin mora,Medio
0.02728166,42,0,377.0,5400.0,4,0,0,0,0.0,0,5400.0,0,7.8,0,Sin mora,Muy Bajo
0.0,63,0,0.538795442,16586.0,15,0,3,0,1.0,0,8293.0,0,5.6,0,Sin mora,Muy Bajo
0.9999999,41,0,332.0,5400.0,2,0,0,0,0.0,0,5400.0,0,41.9,0,Sin mora,Bajo
0.157900794,68,0,1844.0,5400.0,9,0,2,0,0.0,0,5400.0,0,10.6,0,Sin mora,Muy Bajo
0.157719455,57,0,0.211451101,11666.0,12,0,2,0,1.0,0,5833.0,0,12.1,0,Sin mora,Muy Bajo
0.952039643,52,0,0.360458453,6979.0,12,0,2,0,1.0,0,3489.5,0,40.0,0,Sin mora,Bajo
0.178550565,53,0,0.272410455,10329.0,11,0,1,0,0.0,0,10329.0,0,25.5,0,Sin mora,Bajo
0.023410572,56,0,2576.0,5400.0,17,0,2,0,0.0,0,5400.0,0,5.9,0,Sin mora,Muy Bajo
0.286095187,42,0,0.264635888,2100.0,2,0,0,0,2.0,0,700.0,0,47.3,0,Sin mora,Bajo
0.27866852,42,0,0.539243459,6000.0,9,0,2,0,4.0,0,1200.0,0,30.4,0,Sin mora,Bajo
0.218079196,69,0,1559.0,5400.0,13,0,2,0,0.0,0,5400.0,0,13.2,0,Sin mora,Muy Bajo
0.081727997,45,0,0.342741254,11833.0,11,0,2,0,1.0,0,5916.5,0,14.5,0,Sin mora,Muy Bajo
0.046865104,58,0,1973.0,5400.0,4,0,2,0,0.0,0,5400.0,0,5.7,0,Sin mora,Muy Bajo
0.0,52,3,0.18717023,3600.0,7,0,1,0,0.0,3,3600.0,0,20.7,0,Sin mora,Muy Bajo
0.007740597,31,0,0.092984503,6000.0,6,0,0,0,2.0,0,2000.0,0,7.4,0,Sin mora,Muy Bajo
0.325979221,63,0,0.288244453,5137.0,5,0,1,0,0.0,0,5137.0,0,20.8,0,Sin mora,Muy Bajo
0.012376157,86,0,33.0,5400.0,13,0,0,0,0.0,0,5400.0,0,5.1,0,Sin mora,Muy Bajo
0.888822236,59,0,0.324446814,3750.0,9,0,0,0,3.0,0,937.5,0,69.6,1,Sin mora,Medio
0.11938366,53,0,0.268210368,10666.0,18,0,1,0,4.0,0,2133.2,0,19.9,0,Sin mora,Muy Bajo
0.041948159,64,0,1513.0,5400.0,16,0,1,0,0.0,0,5400.0,0,5.5,0,Sin mora,Muy Bajo
0.352794998,54,1,4979.079999999958,5400.0,13,0,3,0,4.0,1,1080.0,0,51.7,1,Sin mora,Medio
0.020370535,71,0,0.323558814,3000.0,28,0,1,0,0.0,0,3000.0,0,5.6,0,Sin mora,Muy Bajo
0.091408666,45,0,0.166023166,3366.0,8,0,1,0,2.0,0,1122.0,0,11.6,0,Sin mora,Muy Bajo
0.47752827,73,0,1.170651818,3052.0,29,0,2,0,0.0,0,3052.0,0,29.7,0,Sin mora,Bajo
0.077857023,52,0,0.309483726,7127.0,4,0,1,0,3.0,0,1781.75,0,13.2,0,Sin mora,Muy Bajo
0.0,40,0,1270.0,5400.0,11,0,1,0,1.0,0,2700.0,0,4.7,0,Sin mora,Muy Bajo
0.038187238,41,0,0.420698633,9217.0,4,0,2,0,0.0,0,9217.0,0,9.8,0,Sin mora,Muy Bajo
0.112635434,49,0,0.223050354,5500.0,7,0,0,0,1.0,0,2750.0,0,22.4,0,Sin mora,Muy Bajo
0.066300832,63,0,1410.0,5400.0,9,0,1,0,0.0,0,5400.0,0,7.5,0,Sin mora,Muy Bajo
0.122707297,32,0,0.390742872,7820.0,16,0,2,0,1.0,0,3910.0,1,13.7,0,Con mora,Muy Bajo
0.776351971,47,0,0.390318054,4275.0,9,0,2,0,3.0,0,1068.75,0,41.4,0,Sin mora,Bajo
0.181718588,67,0,0.615310775,4166.0,8,0,1,0,0.0,0,4166.0,0,21.3,0,Sin mora,Muy Bajo
0.9999999,49,0,0.148140068,9166.0,2,0,0,0,0.0,0,9166.0,0,34.4,0,Sin mora,Bajo
0.060478954,70,0,0.042526182,3150.0,3,0,0,0,0.0,0,3150.0,0,7.4,0,Sin mora,Muy Bajo
0.029012904,46,0,1194.0,5400.0,7,0,1,0,0.0,0,5400.0,0,7.2,0,Sin mora,Muy Bajo
0.571684711,32,0,0.077475789,3200.0,5,3,0,0,0.0,3,3200.0,0,92.6,1,Sin mora,Alto
0.000336442,34,0,0.159802972,12383.0,7,0,1,0,2.0,0,4127.666666666667,0,5.1,0,Sin mora,Muy Bajo
0.018098652,81,0,0.095803395,9602.0,7,0,0,0,0.0,0,9602.0,0,6.2,0,Sin mora,Muy Bajo
0.961759306,55,2,0.367873723,5384.0,7,0,1,1,2.0,3,1794.6666666666667,1,84.7,1,Con mora,Alto
0.0,34,0,0.305157919,4400.0,8,0,1,0,1.0,0,2200.0,0,5.6,0,Sin mora,Muy Bajo
1.496493864,48,0,0.466785159,4500.0,18,0,1,0,0.0,0,4500.0,0,72.1,1,Sin mora,Medio
0.9999999,38,0,0.040274207,3500.0,1,2,0,0,1.0,2,1750.0,0,84.3,1,Sin mora,Alto
0.123238967,57,0,0.011065191,7500.0,4,0,0,0,1.0,0,3750.0,0,11.1,0,Sin mora,Muy Bajo
0.055491395,39,0,2994.0,5400.0,5,0,1,0,0.0,0,5400.0,0,8.5,0,Sin mora,Muy Bajo
0.353738474,65,0,0.379633902,6500.0,6,0,1,0,0.0,0,6500.0,0,22.9,0,Sin mora,Muy Bajo
0.006816847,67,0,0.416597234,6000.0,13,0,3,0,0.0,0,6000.0,0,5.4,0,Sin mora,Muy Bajo
0.0,63,0,0.161207484,19080.0,7,0,1,0,1.0,0,9540.0,0,3.3,0,Sin mora,Muy Bajo
0.306615667,53,0,0.320165813,4100.0,7,0,1,0,1.0,0,2050.0,0,31.2,0,Sin mora,Bajo
1.185628743,33,2,0.111083622,4041.0,3,0,0,1,0.0,3,4041.0,1,89.0,1,Con mora,Alto
0.053353566,45,0,0.159034715,10110.0,11,0,1,0,3.0,0,2527.5,0,8.9,0,Sin mora,Muy Bajo
0.085884528,72,0,37.0,5400.0,4,0,0,0,0.0,0,5400.0,0,8.9,0,Sin mora,Muy Bajo
0.961006499,52,0,0.444357367,3827.0,4,0,1,0,0.0,0,3827.0,0,61.0,1,Sin mora,Medio
0.301214642,62,1,0.550064277,7000.0,17,0,2,0,0.0,1,7000.0,0,45.1,0,Sin mora,Bajo
0.9999999,65,0,0.165706974,3125.0,5,0,1,0,0.0,0,3125.0,0,7.8,0,Sin mora,Muy Bajo
0.05187958,84,0,0.098816864,6000.0,10,0,1,0,0.0,0,6000.0,0,6.2,0,Sin mora,Muy Bajo
0.52710085,50,3,0.467539553,5498.0,15,1,1,1,1.0,5,2749.0,1,89.9,1,Con mora,Alto
0.034055506,85,1,0.01076509,2600.0,9,0,0,0,0.0,1,2600.0,0,8.8,0,Sin mora,Muy Bajo
0.236010581,43,0,0.794037448,5500.0,15,0,4,0,2.0,0,1833.3333333333333,0,38.2,0,Sin mora,Bajo
0.001882132,35,1,0.330762639,5834.0,5,0,1,0,4.0,1,1166.8,1,13.6,0,Con mora,Muy Bajo
0.006415907,33,0,2187.0,5400.0,6,0,2,0,0.0,0,5400.0,0,5.5,0,Sin mora,Muy Bajo
0.703627004,37,1,1.237175217,1500.0,8,0,1,0,4.0,1,300.0,0,73.4,1,Sin mora,Medio
0.472849007,67,0,0.300560275,5532.0,7,0,2,0,0.0,0,5532.0,0,17.4,0,Sin mora,Muy Bajo
0.9999999,57,0,2742.0,5400.0,5,0,1,0,0.0,0,5400.0,0,20.3,0,Sin mora,Muy Bajo
0.048850024,57,0,0.327686754,3600.0,11,0,1,0,1.0,0,1800.0,0,11.0,0,Sin mora,Muy Bajo
0.981023446,32,0,0.306117591,4200.0,8,0,0,0,1.0,0,2100.0,0,72.3,1,Sin mora,Medio
0.319961366,36,0,991.0,5400.0,8,0,0,0,1.0,0,2700.0,0,45.2,0,Sin mora,Bajo
0.978469083,39,3,0.500466604,7500.0,14,0,2,0,2.0,3,2500.0,0,76.9,1,Sin mora,Alto
0.071783151,66,0,0.016995751,4000.0,5,0,0,0,0.0,0,4000.0,0,5.2,0,Sin mora,Muy Bajo
0.568847926,49,0,0.163307412,6300.0,5,0,1,0,0.0,0,6300.0,0,39.9,0,Sin mora,Bajo
0.120196566,61,0,0.240344957,8000.0,8,0,1,0,0.0,0,8000.0,0,13.3,0,Sin mora,Muy Bajo
0.05326617,77,1,0.547745225,10000.0,23,0,4,0,0.0,1,10000.0,0,17.0,0,Sin mora,Muy Bajo
0.022693713,79,0,318.0,5400.0,6,0,0,0,0.0,0,5400.0,0,4.2,0,Sin mora,Muy Bajo
0.952349217,46,0,0.197001249,2400.0,4,0,0,0,0.0,0,2400.0,0,67.2,1,Sin mora,Medio
0.064749945,66,0,0.14706417,5500.0,8,0,2,0,0.0,0,5500.0,0,5.8,0,Sin mora,Muy Bajo
0.032389762,68,0,1431.0,5400.0,8,0,1,0,0.0,0,5400.0,0,3.7,0,Sin mora,Muy Bajo
0.02413419,61,0,0.341996129,3616.0,11,0,1,0,1.0,0,1808.0,0,8.1,0,Sin mora,Muy Bajo
0.016687473,50,0,0.064738524,5946.0,5,0,0,0,3.0,0,1486.5,0,8.0,0,Sin mora,Muy Bajo
0.001829231,63,0,11.0,5400.0,10,0,0,0,0.0,0,5400.0,0,5.0,0,Sin mora,Muy Bajo
0.0,42,1,0.442820658,7047.0,12,0,3,0,2.0,1,2349.0,0,9.9,0,Sin mora,Muy Bajo
0.253438263,54,0,0.577526534,4333.0,16,0,1,0,0.0,0,4333.0,0,38.7,0,Sin mora,Bajo
0.186554536,40,0,2284.0,5400.0,6,0,1,0,0.0,0,5400.0,0,23.5,0,Sin mora,Muy Bajo
0.478152839,42,0,3127.0,5400.0,7,0,2,0,7.0,0,675.0,0,36.6,0,Sin mora,Bajo
0.546625459,40,1,0.098308891,14250.0,4,1,0,0,0.0,2,14250.0,1,84.7,1,Con mora,Alto
0.314367508,51,1,0.28897466,11917.0,13,0,2,0,2.0,1,3972.3333333333335,0,37.4,0,Sin mora,Bajo
0.056930751,58,0,0.238195756,9000.0,10,0,1,0,3.0,0,2250.0,0,7.3,0,Sin mora,Muy Bajo
0.443413437,46,0,0.623415882,8600.0,7,0,2,0,4.0,0,1720.0,0,48.0,0,Sin mora,Bajo
0.093974603,33,0,0.368527406,7917.0,12,0,1,0,0.0,0,7917.0,0,16.1,0,Sin mora,Muy Bajo
0.9999999,27,0,373.0,5400.0,4,0,0,0,0.0,0,5400.0,0,41.7,0,Sin mora,Bajo
0.016543069,36,0,0.169318483,7541.0,6,0,2,0,3.0,0,1885.25,0,4.3,0,Sin mora,Muy Bajo
0.991923853,43,1,0.310990242,6250.0,9,0,1,0,3.0,1,1562.5,0,71.1,1,Sin mora,Medio
0.876086455,48,0,1.057471264,2000.0,3,0,1,0,2.0,0,666.6666666666666,0,59.4,1,Sin mora,Medio
0.839907542,29,0,364.0,2.0,8,0,0,0,0.0,0,2.0,0,54.4,1,Sin mora,Medio
0.027136493,57,0,0.251124813,6000.0,25,0,2,0,0.0,0,6000.0,0,5.9,0,Sin mora,Muy Bajo
0.075849847,68,0,4190.0,5400.0,15,0,1,0,2.0,0,1800.0,0,6.1,0,Sin mora,Muy Bajo
0.951209758,36,0,0.061445262,2310.0,2,0,0,0,2.0,0,770.0,0,66.5,1,Sin mora,Medio
0.479507032,54,0,0.847180748,5692.0,10,0,2,0,0.0,0,5692.0,0,50.9,1,Sin mora,Medio
0.016599078,82,0,19.0,0.0,5,0,0,0,0.0,0,0.0,0,4.1,0,Sin mora,Muy Bajo
0.047634491,63,0,0.041983207,2500.0,9,0,0,0,0.0,0,2500.0,0,7.9,0,Sin mora,Muy Bajo
0.138763894,57,1,0.13865901,5920.0,13,0,0,0,1.0,1,2960.0,0,36.1,0,Sin mora,Bajo
0.373905821,63,1,0.30333855,3833.0,8,0,1,0,0.0,1,3833.0,0,47.8,0,Sin mora,Bajo
0.000621749,52,0,0.237327546,12901.0,10,0,2,0,3.0,0,3225.25,0,4.3,0,Sin mora,Muy Bajo
0.0,65,1,0.515065757,6006.0,17,0,2,0,0.0,1,6006.0,0,8.8,0,Sin mora,Muy Bajo
0.792219085,48,3,0.786014266,15000.0,25,0,3,0,0.0,3,15000.0,0,84.0,1,Sin mora,Alto
0.961610637,50,0,0.201680672,8210.0,13,0,0,0,1.0,0,4105.0,0,69.1,1,Sin mora,Medio
0.233301655,71,0,0.20417685,4500.0,11,0,1,0,0.0,0,4500.0,0,12.9,0,Sin mora,Muy Bajo
0.873481732,42,0,0.53873267,12766.0,11,0,3,0,0.0,0,12766.0,0,59.2,1,Sin mora,Medio
0.95566447,53,0,0.564831261,1688.0,6,0,0,0,0.0,0,1688.0,0,77.1,1,Sin mora,Alto
0.9999999,44,1,0.876712329,8102.0,5,0,2,0,2.0,1,2700.6666666666665,0,47.2,0,Sin mora,Bajo
0.30428262,32,0,0.274722886,4600.0,8,0,1,0,0.0,0,4600.0,0,30.6,0,Sin mora,Bajo
0.99340066,32,0,0.120646559,6000.0,3,0,0,0,2.0,0,2000.0,0,60.5,1,Sin mora,Medio
0.491954789,32,0,0.177573167,3040.0,10,0,0,0,1.0,0,1520.0,0,58.3,1,Sin mora,Medio
0.100273342,39,0,0.447159317,5033.0,5,0,1,0,0.0,0,5033.0,0,17.2,0,Sin mora,Muy Bajo
0.658606265,41,0,0.331726477,5600.0,11,0,1,0,3.0,0,1400.0,0,54.9,1,Sin mora,Medio
0.001519711,43,0,0.380680296,11200.0,8,0,2,0,2.0,0,3733.3333333333335,0,6.6,0,Sin mora,Muy Bajo
0.726810267,61,0,0.219839008,20000.0,21,0,2,0,0.0,0,20000.0,0,28.0,0,Sin mora,Bajo
0.127797517,46,0,1.663941871,1100.0,6,0,1,0,0.0,0,1100.0,0,24.9,0,Sin mora,Muy Bajo
0.03050621,63,0,4979.079999999958,5400.0,8,0,1,0,0.0,0,5400.0,0,5.6,0,Sin mora,Muy Bajo
0.015545339,49,0,1452.0,5400.0,6,0,1,0,0.0,0,5400.0,0,6.1,0,Sin mora,Muy Bajo
0.0,63,0,0.502165945,3000.0,6,0,1,0,0.0,0,3000.0,0,4.7,0,Sin mora,Muy Bajo
0.018805187,64,0,0.003857033,11666.0,11,0,0,0,0.0,0,11666.0,0,3.3,0,Sin mora,Muy Bajo
0.050117159,53,0,1237.0,0.0,10,0,1,0,0.0,0,0.0,0,8.7,0,Sin mora,Muy Bajo
0.0,63,0,0.464764692,4100.0,6,0,1,0,0.0,0,4100.0,0,4.0,0,Sin mora,Muy Bajo
0.211747398,49,0,0.573242342,6300.0,27,0,2,0,3.0,0,1575.0,1,30.0,0,Con mora,Bajo
0.79487448,62,0,1.233797698,1650.0,6,0,1,0,0.0,0,1650.0,0,52.4,1,Sin mora,Medio
0.013215652,77,0,0.195025856,4060.0,11,0,1,0,0.0,0,4060.0,0,4.2,0,Sin mora,Muy Bajo
0.03125625,52,0,0.28314431,5113.0,16,0,1,0,0.0,0,5113.0,0,9.8,0,Sin mora,Muy Bajo
0.327194711,38,1,0.317396837,5500.0,13,0,1,1,2.0,2,1833.3333333333333,0,72.5,1,Sin mora,Medio
0.443951605,43,0,0.457095019,7166.0,11,0,2,1,1.0,1,3583.0,0,64.2,1,Sin mora,Medio
0.014836094,58,0,0.417350528,4264.0,4,0,2,0,0.0,0,4264.0,0,5.5,0,Sin mora,Muy Bajo
0.109849385,41,0,0.602839277,5916.0,9,0,2,0,1.0,0,2958.0,0,21.0,0,Sin mora,Muy Bajo
0.146065687,63,0,56.0,5400.0,1,0,0,0,0.0,0,5400.0,0,21.7,0,Sin mora,Muy Bajo
0.234510326,23,0,0.143958869,2333.0,2,0,0,0,0.0,0,2333.0,1,31.0,0,Con mora,Bajo
0.579772046,42,0,0.482827609,5997.0,10,0,1,0,1.0,0,2998.5,0,60.1,1,Sin mora,Medio
0.216997027,72,0,1960.0,5400.0,13,0,1,0,0.0,0,5400.0,0,14.0,0,Sin mora,Muy Bajo
0.058996067,70,0,0.009430997,3180.0,5,0,0,0,0.0,0,3180.0,0,4.7,0,Sin mora,Muy Bajo
0.352664734,35,0,0.346059449,11000.0,5,0,2,0,1.0,0,5500.0,0,31.7,0,Sin mora,Bajo
0.067080488,52,0,0.478336772,6300.0,6,0,2,0,0.0,0,6300.0,0,12.7,0,Sin mora,Muy Bajo
0.794554235,52,0,0.332681468,8692.0,8,0,1,0,0.0,0,8692.0,0,57.0,1,Sin mora,Medio
0.001450122,47,0,0.488151185,10000.0,7,0,2,0,0.0,0,10000.0,0,8.2,0,Sin mora,Muy Bajo
0.108493973,43,0,1120.0,5400.0,9,0,1,0,5.0,0,900.0,0,14.6,0,Sin mora,Muy Bajo
0.021349466,39,0,0.091954023,2000.0,3,0,0,0,0.0,0,2000.0,0,8.5,0,Sin mora,Muy Bajo
0.049189039,46,0,850.0,5400.0,9,0,1,0,0.0,0,5400.0,0,9.5,0,Sin mora,Muy Bajo
0.0,32,0,0.538048344,3350.0,3,0,1,0,2.0,0,1116.6666666666667,0,6.7,0,Sin mora,Muy Bajo
0.027510593,79,0,110.0,5400.0,6,0,1,0,0.0,0,5400.0,0,3.7,0,Sin mora,Muy Bajo
0.054681884,60,1,0.162078756,8100.0,16,0,0,0,1.0,1,4050.0,0,22.2,0,Sin mora,Muy Bajo
0.119040018,42,0,0.43375481,5456.0,12,0,2,0,0.0,0,5456.0,0,18.2,0,Sin mora,Muy Bajo
0.992308876,55,0,2.19502244,2450.0,8,0,3,0,0.0,0,2450.0,0,54.3,1,Sin mora,Medio
1.052731576,50,0,0.431104593,15000.0,11,0,2,1,2.0,1,5000.0,1,82.0,1,Con mora,Alto
0.101018899,52,0,0.234858553,5266.0,11,0,1,0,2.0,0,1755.3333333333333,0,13.3,0,Sin mora,Muy Bajo
0.454220826,78,0,0.873533246,2300.0,7,0,1,0,2.0,0,766.6666666666666,0,20.0,0,Sin mora,Muy Bajo
0.531128005,46,0,1.095115681,2333.0,8,0,1,0,2.0,0,777.6666666666666,0,52.7,1,Sin mora,Medio
0.057844296,51,0,402.0,5400.0,8,0,1,1,0.0,1,5400.0,0,28.9,0,Sin mora,Bajo
0.9999999,24,98,0.0,1488.0,0,98,0,98,0.0,294,1488.0,0,88.1,1,Sin mora,Alto
0.372853466,32,0,0.081205783,3250.0,3,0,0,0,0.0,0,3250.0,0,40.1,0,Sin mora,Bajo
0.381146021,73,0,0.13871155,12060.0,7,0,1,0,0.0,0,12060.0,0,15.7,0,Sin mora,Muy Bajo
0.0,42,3,0.05365561,11666.0,5,1,0,0,3.0,4,2916.5,0,35.1,0,Sin mora,Bajo
0.0358056,62,0,0.268891446,7820.0,27,0,1,0,0.0,0,7820.0,0,7.4,0,Sin mora,Muy Bajo
0.000457448,64,0,0.266348888,11957.0,21,0,2,0,0.0,0,11957.0,0,4.0,0,Sin mora,Muy Bajo
0.011613774,37,0,2.0,5400.0,5,0,0,0,0.0,0,5400.0,0,12.5,0,Sin mora,Muy Bajo
0.001241337,78,0,4.0,5400.0,4,0,0,0,0.0,0,5400.0,0,5.7,0,Sin mora,Muy Bajo
0.70643119,28,2,0.232255915,3000.0,4,0,0,1,0.0,3,3000.0,1,88.8,1,Con mora,Alto
0.019699343,53,0,0.290841965,9750.0,10,0,1,0,3.0,0,2437.5,0,9.4,0,Sin mora,Muy Bajo
0.001978771,78,0,1.013231403,3400.0,19,0,2,0,1.0,0,1700.0,0,6.2,0,Sin mora,Muy Bajo
0.126879711,43,0,1.256092608,4923.0,16,0,5,0,0.0,0,4923.0,0,33.1,0,Sin mora,Bajo
0.0,72,0,542.0,5400.0,7,0,1,0,0.0,0,5400.0,0,2.5,0,Sin mora,Muy Bajo
0.032183055,52,0,0.046558126,3500.0,5,0,0,0,0.0,0,3500.0,0,8.5,0,Sin mora,Muy Bajo
0.016486189,76,0,0.170522708,3500.0,10,0,0,0,1.0,0,1750.0,0,6.4,0,Sin mora,Muy Bajo
0.658039032,60,0,0.307669233,10000.0,8,0,1,0,0.0,0,10000.0,0,44.1,0,Sin mora,Bajo
0.117979534,68,0,0.011349433,20000.0,4,0,0,0,1.0,0,10000.0,0,6.5,0,Sin mora,Muy Bajo
0.026839511,54,0,0.190356714,9166.0,13,0,1,0,2.0,0,3055.333333333333,0,7.0,0,Sin mora,Muy Bajo
